Summary
player: ('row', [0, 2])

computer: ('row', [0, 0])

player: ('col', [0, 2])

computer: ('row', [0, 1])

player: ('row', [2, 1])

computer: ('row', [1, 0])

player: ('col', [1, 1])

computer: ('row', [2, 2])

player: ('col', [2, 2])

computer: ('row', [3, 0])

player: ('col', [2, 0])

computer: ('row', [1, 2])

player: ('col', [0, 3])
player: ('col', [2, 3])

computer: ('row', [3, 2])
computer: ('row', [2, 0])

player: ('row', [3, 1])

computer: ('col', [1, 0])
computer: ('col', [2, 1])
computer: ('row', [1, 1])

player: ('col', [1, 2])
player: ('col', [1, 3])
player: ('col', [0, 1])
player: ('col', [0, 0])

-------------------------
Player
player: ('row', [0, 2])
player: ('col', [0, 2])
player: ('row', [2, 1])
player: ('col', [1, 1])
player: ('col', [2, 2])
player: ('col', [2, 0])
player: ('col', [0, 3])
player: ('col', [2, 3])
player: ('row', [3, 1])
player: ('col', [1, 2])
player: ('col', [1, 3])
player: ('col', [0, 1])
player: ('col', [0, 0])
-------------------------
Computer
computer: ('row', [0, 0])
computer: ('row', [0, 1])
computer: ('row', [1, 0])
computer: ('row', [2, 2])
computer: ('row', [3, 0])
computer: ('row', [1, 2])
computer: ('row', [3, 2])
computer: ('row', [2, 0])
computer: ('col', [1, 0])
computer: ('col', [2, 1])
computer: ('row', [1, 1])
